Year,Name,College,POS,Rookie AV,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle,Cmp,PassAtt,Pct,PassYds,Y/A,AY/A,PassTD,Int,Rate,RushAtt,RushYds,RushAvg,RushTD
2002,David Carr,Fresno St.,QB,35,75.4,223,9.75,31.75,24,4.67,,35,106,4.28,7.05,,565,901,62.7,7458,8.3,8.6,65,22,151.2,177,95,0.5,9
2002,Joey Harrington,Oregon,QB,24,76,215,9.75,31.5,32,4.85,,32,107,4.21,7,,512,928,55.2,6911,7.4,7.6,59,23,133.8,145,210,1.4,18
2002,Josh McCown,Sam Houston St.,QB,15,75.9,221,9,30.5,30,4.64,,38.5,118,3.9,6.85,,340,664,51.2,4022,6.1,4.6,27,34,105.3,198,201,1,4
2002,Patrick Ramsey,Tulane,QB,14,74.5,219,10,31.13,32,5.24,,33.5,111,4.09,7.12,,798,1355,58.9,9205,6.8,6.2,72,51,126,152,-128,-0.8,4
2002,David Garrard,East Carolina,QB,9,73.9,235,10.5,31,14,4.83,,33.5,110,4.26,7.35,,666,1169,57,9029,7.7,7.2,60,39,132.1,516,1209,2.3,21
2002,Ronald Curry,North Carolina,QB,6,73.9,220,9.75,31.5,22,4.65,,35,110,4.11,7.06,,345,695,49.6,4987,7.2,5.7,28,35,113.1,348,1249,3.6,13
2002,Kurt Kittner,Illinois,QB,1,74.3,211,9,31,31,4.86,,27,97,4.5,7.34,,668,1229,54.4,8460,6.9,6.7,66,33,124.5,192,168,0.9,7
2002,Randy Fasani,Stanford,QB,1,75.4,234,9.75,31.75,25,4.78,,31.5,106,3.87,6.75,,188,369,50.9,2973,8.1,8.1,25,11,135,127,317,2.5,6
2002,David Neill,Nevada,QB,0,75,206,,,25,4.95,,30,108,4.44,7.28,,763,1376,55.5,10903,7.9,7.9,73,33,134.7,351,761,2.2,14
2002,Greg Zolman,Vanderbilt,QB,0,73.8,220,8,31,23,4.9,,34,110,4.14,7.06,,596,1156,51.6,7981,6.9,5.8,41,46,113.3,228,-274,-1.2,12
2002,Brandon Doman,BYU,QB,0,73.8,210,9.5,31.5,27,4.87,,32.5,106,4.08,6.9,,313,504,62.1,4354,8.6,8.8,35,14,152,184,673,3.7,11
2002,J.T. O'Sullivan,California-Davis,QB,0,74.1,223,9.5,31,35,4.93,,29,105,4.28,7.46,,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,Rohan Davey,LSU,QB,0,74,245,9.5,33,17,4.74,,25.5,,,,,286,478,59.8,4415,9.2,9,29,15,151.2,66,77,1.2,0
